           Date        GOOGL
227  2010-11-26   295.295288
228  2010-11-29   291.346344
229  2010-11-30   278.133148
230  2010-12-01   282.457458
231  2010-12-02   286.196198
232  2010-12-03   286.786774
233  2010-12-06   289.469482
234  2010-12-07   293.863861
235  2010-12-08   295.565552
236  2010-12-09   296.046051
237  2010-12-10   296.401398
238  2010-12-13   297.607605
239  2010-12-14   297.752747
240  2010-12-15   295.445435
241  2010-12-16   296.151154
242  2010-12-17   295.695709
243  2010-12-20   297.827820
244  2010-12-21   301.836823
245  2010-12-22   303.048035
246  2010-12-23   302.417419
247  2010-12-27   301.491486
248  2010-12-28   299.759766
249  2010-12-29   300.800812
250  2010-12-30   299.729736
251  2010-12-31   297.282288
252  2011-01-03   302.477478
253  2011-01-04   301.361359
254  2011-01-05   304.839844
255  2011-01-06   307.057068
256  2011-01-07   308.528534
257  2011-01-10   307.412415
258  2011-01-11   308.313324
259  2011-01-12   308.743744
260  2011-01-13   308.653656
261  2011-01-14   312.402405
262  2011-01-18   320.135132
263  2011-01-19   316.191193
264  2011-01-20   313.698700
265  2011-01-21   306.221222
266  2011-01-24   305.845856
267  2011-01-25   310.265259
268  2011-01-26   308.558563
269  2011-01-27   308.703705
270  2011-01-28   300.795807
271  2011-01-31   300.480469
272  2011-02-01   305.825836
273  2011-02-02   306.306305
274  2011-02-03   305.380371
275  2011-02-04   305.795807
276  2011-02-07   307.452454
277  2011-02-08   309.499512
278  2011-02-09   308.558563
279  2011-02-10   308.528534
280  2011-02-11   312.562561
281  2011-02-14   314.389374
282  2011-02-15   312.387390
283  2011-02-16   312.422424
284  2011-02-17   312.942932
285  2011-02-18   315.355347
286  2011-02-22   305.410400
287  2011-02-23   305.965973
288  2011-02-24   304.714722
289  2011-02-25   305.325317
290  2011-02-28   307.007019
291  2011-03-01   300.680695
292  2011-03-02   300.695709
293  2011-03-03   305.085083
294  2011-03-04   300.610626
295  2011-03-07   296.126129
296  2011-03-08   296.451447
297  2011-03-09   296.181183
298  2011-03-10   290.440430
299  2011-03-11   288.643646
300  2011-03-14   285.280273
301  2011-03-15   285.065063
302  2011-03-16   278.828827
303  2011-03-17   280.960968
304  2011-03-18   280.810822
305  2011-03-21   288.538544
306  2011-03-22   288.948944
307  2011-03-23   291.371368
308  2011-03-24   293.738739
309  2011-03-25   290.160156
310  2011-03-28   287.967957
311  2011-03-29   291.156158
312  2011-03-30   291.211212
313  2011-03-31   293.673676
314  2011-04-01   296.196198
315  2011-04-04   294.134125
316  2011-04-05   284.829834
317  2011-04-06   287.377380
318  2011-04-07   290.290283
319  2011-04-08   289.369354
320  2011-04-11   288.973969
321  2011-04-12   285.590576
322  2011-04-13   288.428436
323  2011-04-14   289.544556
324  2011-04-15   265.615631
325  2011-04-18   263.683685
326  2011-04-19   261.026031
327  2011-04-20   263.128113
328  2011-04-21   262.812805
329  2011-04-25   262.787781
330  2011-04-26   266.676666
331  2011-04-27   269.149139
332  2011-04-28   269.254242
333  2011-04-29   272.322327
334  2011-05-02   269.549561
335  2011-05-03   267.212219
336  2011-05-04   268.163177
337  2011-05-05   267.402405
338  2011-05-06   267.917908
339  2011-05-09   269.109100
340  2011-05-10   271.601593
341  2011-05-11   267.992981
342  2011-05-12   267.792786
343  2011-05-13   265.040039
344  2011-05-16   259.469482
345  2011-05-17   265.495483
346  2011-05-18   265.170166
347  2011-05-19   265.890900
348  2011-05-20   262.277283
349  2011-05-23   259.454468
350  2011-05-24   259.389374
351  2011-05-25   260.095093
352  2011-05-26   259.324310
