"May 08, 2021","57,486.40","59,438.58","57,026.95","59,017.99","59,017.99","66,541,948,928"
"May 07, 2021","56,413.95","58,606.63","55,321.85","57,356.40","57,356.40","68,434,023,376"
"May 06, 2021","57,441.31","58,363.32","55,382.51","56,396.52","56,396.52","69,523,285,106"
"May 05, 2021","53,252.16","57,911.36","52,969.05","57,424.01","57,424.01","69,241,316,747"
"May 04, 2021","57,214.18","57,214.18","53,191.43","53,333.54","53,333.54","68,564,706,967"
"May 03, 2021","56,620.27","58,973.31","56,590.87","57,200.29","57,200.29","51,713,139,031"
"May 02, 2021","57,825.86","57,902.59","56,141.91","56,631.08","56,631.08","38,177,405,335"
"May 01, 2021","57,714.66","58,448.34","57,052.27","57,828.05","57,828.05","42,836,427,360"
"apr. 30, 2021","53,568.66","57,900.72","53,129.60","57,750.18","57,750.18","52,395,931,985"
"apr. 29, 2021","54,858.09","55,115.84","52,418.03","53,555.11","53,555.11","46,088,929,780"
"apr. 28, 2021","55,036.64","56,227.21","53,887.92","54,824.70","54,824.70","48,000,572,955"
"apr. 27, 2021","54,030.30","55,416.96","53,319.19","55,033.12","55,033.12","49,448,222,757"
"apr. 26, 2021","49,077.79","54,288.00","48,852.80","54,021.75","54,021.75","58,284,039,825"
"apr. 25, 2021","50,052.83","50,506.02","47,159.48","49,004.25","49,004.25","46,117,114,240"
"apr. 24, 2021","51,143.23","51,167.56","48,805.29","50,050.87","50,050.87","49,014,494,781"
"apr. 23, 2021","51,739.81","52,120.79","47,714.66","51,093.65","51,093.65","86,668,667,320"
"apr. 22, 2021","53,857.11","55,410.23","50,583.81","51,762.27","51,762.27","74,798,630,778"
"apr. 21, 2021","56,471.13","56,757.97","53,695.47","53,906.09","53,906.09","54,926,612,466"
"apr. 20, 2021","55,681.79","57,062.15","53,448.05","56,473.03","56,473.03","67,849,323,955"
"apr. 19, 2021","56,191.59","57,520.05","54,368.59","55,724.27","55,724.27","65,344,865,159"
"apr. 18, 2021","60,701.89","61,057.46","52,829.54","56,216.18","56,216.18","97,468,872,758"
"apr. 17, 2021","61,529.92","62,572.18","60,361.35","60,683.82","60,683.82","66,138,759,198"
"apr. 16, 2021","63,258.50","63,594.72","60,222.53","61,572.79","61,572.79","84,293,007,468"
"apr. 15, 2021","63,075.20","63,821.67","62,208.96","63,314.01","63,314.01","60,954,381,579"
"apr. 14, 2021","63,523.75","64,863.10","61,554.80","63,109.70","63,109.70","77,451,779,687"
"apr. 13, 2021","59,890.02","63,742.29","59,869.96","63,503.46","63,503.46","69,983,454,362"
"apr. 12, 2021","60,175.95","61,253.04","59,589.88","59,893.45","59,893.45","51,828,688,519"
"apr. 11, 2021","59,846.23","60,790.55","59,289.80","60,204.96","60,204.96","46,280,252,580"
"apr. 10, 2021","58,253.78","61,276.66","58,038.71","59,793.23","59,793.23","58,238,470,525"
"apr. 9, 2021","58,326.56","58,937.05","57,807.86","58,245.00","58,245.00","46,655,208,546"
"apr. 8, 2021","56,099.91","58,338.74","55,879.09","58,323.95","58,323.95","53,053,855,641"
"apr. 7, 2021","58,186.51","58,731.14","55,604.02","56,048.94","56,048.94","75,645,303,584"
