           Date         AMZN
227  2010-11-26   177.199997
228  2010-11-29   179.490005
229  2010-11-30   175.399994
230  2010-12-01   176.550003
231  2010-12-02   176.529999
232  2010-12-03   175.679993
233  2010-12-06   178.050003
234  2010-12-07   176.770004
235  2010-12-08   176.289993
236  2010-12-09   174.850006
237  2010-12-10   175.619995
238  2010-12-13   174.250000
239  2010-12-14   173.940002
240  2010-12-15   175.570007
241  2010-12-16   178.039993
242  2010-12-17   177.580002
243  2010-12-20   183.289993
244  2010-12-21   184.750000
245  2010-12-22   184.759995
246  2010-12-23   182.589996
247  2010-12-27   182.139999
248  2010-12-28   181.089996
249  2010-12-29   183.369995
250  2010-12-30   182.750000
251  2010-12-31   180.000000
252  2011-01-03   184.220001
253  2011-01-04   185.009995
254  2011-01-05   187.419998
255  2011-01-06   185.860001
256  2011-01-07   185.490005
257  2011-01-10   184.679993
258  2011-01-11   184.339996
259  2011-01-12   184.080002
260  2011-01-13   185.529999
261  2011-01-14   188.750000
262  2011-01-18   191.250000
263  2011-01-19   186.869995
264  2011-01-20   181.960007
265  2011-01-21   177.419998
266  2011-01-24   176.850006
267  2011-01-25   176.699997
268  2011-01-26   175.389999
269  2011-01-27   184.449997
270  2011-01-28   171.139999
271  2011-01-31   169.639999
272  2011-02-01   172.110001
273  2011-02-02   173.529999
274  2011-02-03   173.710007
275  2011-02-04   175.929993
276  2011-02-07   176.429993
277  2011-02-08   183.059998
278  2011-02-09   185.300003
279  2011-02-10   186.210007
280  2011-02-11   189.250000
281  2011-02-14   190.419998
282  2011-02-15   189.029999
283  2011-02-16   186.619995
284  2011-02-17   187.759995
285  2011-02-18   186.500000
286  2011-02-22   180.419998
287  2011-02-23   176.679993
288  2011-02-24   177.750000
289  2011-02-25   177.240005
290  2011-02-28   173.289993
291  2011-03-01   169.440002
292  2011-03-02   172.020004
293  2011-03-03   172.789993
294  2011-03-04   171.669998
295  2011-03-07   169.080002
296  2011-03-08   166.889999
297  2011-03-09   169.050003
298  2011-03-10   166.139999
299  2011-03-11   168.070007
300  2011-03-14   166.729996
301  2011-03-15   165.080002
302  2011-03-16   164.699997
303  2011-03-17   160.970001
304  2011-03-18   161.820007
305  2011-03-21   164.520004
306  2011-03-22   162.600006
307  2011-03-23   165.320007
308  2011-03-24   171.100006
309  2011-03-25   170.979996
310  2011-03-28   169.350006
311  2011-03-29   174.619995
312  2011-03-30   179.419998
313  2011-03-31   180.130005
314  2011-04-01   180.130005
315  2011-04-04   182.940002
316  2011-04-05   185.289993
317  2011-04-06   182.759995
318  2011-04-07   184.910004
319  2011-04-08   184.710007
320  2011-04-11   184.039993
321  2011-04-12   180.479996
322  2011-04-13   182.289993
323  2011-04-14   181.820007
324  2011-04-15   180.009995
325  2011-04-18   178.339996
326  2011-04-19   178.820007
327  2011-04-20   183.869995
328  2011-04-21   185.889999
329  2011-04-25   185.419998
330  2011-04-26   182.300003
331  2011-04-27   196.630005
332  2011-04-28   195.070007
333  2011-04-29   195.809998
334  2011-05-02   201.190002
335  2011-05-03   198.449997
336  2011-05-04   199.970001
337  2011-05-05   197.110001
338  2011-05-06   197.600006
339  2011-05-09   200.800003
340  2011-05-10   203.940002
341  2011-05-11   204.380005
342  2011-05-12   206.070007
343  2011-05-13   202.559998
344  2011-05-16   192.509995
345  2011-05-17   194.809998
346  2011-05-18   197.089996
347  2011-05-19   198.800003
348  2011-05-20   198.649994
349  2011-05-23   196.220001
350  2011-05-24   193.270004
351  2011-05-25   192.259995
352  2011-05-26   195.000000
353  2011-05-27   194.130005
354  2011-05-31   196.690002
355  2011-06-01   192.399994
356  2011-06-02   193.649994
357  2011-06-03   188.320007
358  2011-06-06   185.690002
359  2011-06-07   187.550003
360  2011-06-08   188.050003
361  2011-06-09   189.679993
362  2011-06-10   186.529999
363  2011-06-13   186.289993
364  2011-06-14   189.960007
365  2011-06-15   185.979996
366  2011-06-16   183.649994
367  2011-06-17   186.369995
368  2011-06-20   187.720001
369  2011-06-21   194.229996
370  2011-06-22   191.630005
